Nondimensionalised mobility scalars, generated 05/09/2023 22:40:01. Time to generate 3h02m42s
             s'          lambda           gamma              xa              ya              yb              xc              yc              xg              yg              yh              xm              ym              zm 
 3.80000000e+00  1.00000000e-02  0.00000000e+00  9.99999853e-01  9.99999993e-01  1.30448672e-08  1.00000000e+00  9.99999925e-01  1.17935490e-07 -6.14599358e-09 -3.53868454e-08  1.00000023e+00  1.00000004e+00  1.00000000e+00
 3.80000000e+00  1.00000000e-02  1.00000000e+00  7.10897194e-01  4.26208618e-01 -1.35775087e-01  1.41506072e-01 -7.07529879e-02 -2.84124014e-01 -1.84379388e-02  1.76882613e-01  4.76951758e-07 -2.00045906e-07 -3.84298396e-08
 3.90000000e+00  1.00000000e-02  0.00000000e+00  9.99999863e-01  9.99999994e-01  1.08760318e-08  1.00000000e+00  9.99999936e-01  1.08108581e-07 -5.32352064e-09 -3.14578769e-08  1.00000020e+00  1.00000004e+00  1.00000000e+00
 3.90000000e+00  1.00000000e-02  1.00000000e+00  6.96159384e-01  4.13535015e-01 -1.28901526e-01  1.30897709e-01 -6.54488177e-02 -2.72398810e-01 -1.66183669e-02  1.63622154e-01  4.51993667e-07 -1.92247526e-07 -3.37492025e-08
 4.00000000e+00  1.00000000e-02  0.00000000e+00  9.99999872e-01  9.99999995e-01  9.10963167e-09  1.00000000e+00  9.99999945e-01  9.90308554e-08 -4.61352830e-09 -2.79613976e-08  1.00000018e+00  1.00000003e+00  1.00000000e+00
 4.00000000e+00  1.00000000e-02  1.00000000e+00  6.81906441e-01  4.01621107e-01 -1.22537012e-01  1.21323768e-01 -6.06618561e-02 -2.61289158e-01 -1.50178174e-02  1.51654725e-01  4.28201447e-07 -1.84364364e-07 -2.97362768e-08
 4.10000000e+00  1.00000000e-02  0.00000000e+00  9.99999880e-01  9.99999996e-01  7.66358440e-09  1.00000000e+00  9.99999952e-01  9.06828737e-08 -4.00185253e-09 -2.48605401e-08  1.00000016e+00  1.00000003e+00  1.00000000e+00
 4.10000000e+00  1.00000000e-02  1.00000000e+00  6.68126580e-01  3.90399459e-01 -1.16632491e-01  1.12661180e-01 -5.63305682e-02 -2.50765089e-01 -1.36054017e-02  1.40826486e-01  4.05610895e-07 -1.76522846e-07 -2.62825356e-08
 4.20000000e+00  1.00000000e-02  0.00000000e+00  9.99999888e-01  9.99999997e-01  6.47399299e-09  1.00000000e+00  9.99999959e-01  8.30316434e-08 -3.47540106e-09 -2.21166751e-08  1.00000015e+00  1.00000003e+00  1.00000000e+00
 4.20000000e+00  1.00000000e-02  1.00000000e+00  6.54806417e-01  3.79810419e-01 -1.11144680e-01  1.04804033e-01 -5.24019993e-02 -2.40796168e-01 -1.23551962e-02  1.31005050e-01  3.84225426e-07 -1.68813509e-07 -2.32991508e-08
 4.30000000e+00  1.00000000e-02  0.00000000e+00  9.99999895e-01  9.99999997e-01  5.49081110e-09  1.00000000e+00  9.99999964e-01  7.60362823e-08 -3.02241732e-09 -1.96919420e-08  1.00000013e+00  1.00000003e+00  1.00000000e+00
 4.30000000e+00  1.00000000e-02  1.00000000e+00  6.41931524e-01  3.69801031e-01 -1.06035270e-01  9.76608498e-02 -4.88304114e-02 -2.31352172e-01 -1.12453504e-02  1.22076070e-01  3.64026022e-07 -1.61299908e-07 -2.07130600e-08
 4.40000000e+00  1.00000000e-02  0.00000000e+00  9.99999902e-01  9.99999998e-01  4.67461123e-09  1.00000000e+00  9.99999969e-01  6.96519404e-08 -2.63253862e-09 -1.75506487e-08  1.00000012e+00  1.00000002e+00  1.00000000e+00
 4.40000000e+00  1.00000000e-02  1.00000000e+00  6.29486846e-01  3.60324119e-01 -1.01270255e-01  9.11523430e-02 -4.55761608e-02 -2.22403561e-01 -1.02573722e-02  1.13940435e-01  3.44978494e-07 -1.54025324e-07 -1.84638881e-08
 4.50000000e+00  1.00000000e-02  0.00000000e+00  9.99999909e-01  9.99999998e-01  3.99415832e-09  1.00000000e+00  9.99999973e-01  6.38324711e-08 -2.29674331e-09 -1.56599665e-08  1.00000011e+00  1.00000002e+00  1.00000000e+00
 4.50000000e+00  1.00000000e-02  1.00000000e+00  6.17457025e-01  3.51337524e-01 -9.68193646e-02  8.52095603e-02 -4.26047716e-02 -2.13921794e-01 -9.37555042e-03  1.06511955e-01  3.27038764e-07 -1.47017833e-07 -1.65015208e-08
 2.02500000e+00  1.00000000e-01  0.00000000e+00  9.99868774e-01  9.99102891e-01  9.85463771e-04  9.99986063e-01  9.96747306e-01  1.73156461e-05  2.76985699e-04  9.04563124e-04  1.00009747e+00  1.00065447e+00  1.00042113e+00
 2.02500000e+00  1.00000000e-01  1.00000000e+00  9.94438522e-01  8.78958295e-01 -4.27926228e-01  7.31832018e-01 -1.36101013e-01 -5.10523251e-01 -1.72696841e-01  8.49941073e-01 -2.80834242e-06  9.10564307e-04 -6.62959236e-04
