Nondimensionalised resistance scalars, generated 05/09/2023 22:40:01. Time to generate 3h02m42s
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM 
 3.60000000e+00  1.00000000e-02  1.00000000e+00 -7.49174270e-03 -4.55599852e-03  4.55288068e-03 -1.66424936e-07  8.36198645e-08 -9.37749847e-03 -6.88875506e-04  2.08092903e-07  5.34785635e-07 -2.14483699e-07 -5.03586483e-08
 3.70000000e+00  1.00000000e-02  0.00000000e+00  1.00532085e+00  1.00193923e+00 -1.89479198e-03  1.00000002e+00  1.00061719e+00  6.51802318e-03  2.71454413e-04  8.83659876e-05  1.00212928e+00  1.00003052e+00  1.00000000e+00
 3.70000000e+00  1.00000000e-02  1.00000000e+00 -7.32746861e-03 -4.40999404e-03  4.30892028e-03 -1.53292435e-07  7.69933310e-08 -8.97586189e-03 -6.17198014e-04  1.91665332e-07  5.07046880e-07 -2.07477072e-07 -4.39114664e-08
 3.80000000e+00  1.00000000e-02  0.00000000e+00  1.00509664e+00  1.00182146e+00 -1.74076495e-03  1.00000002e+00  1.00055461e+00  6.11109680e-03  2.36436221e-04  7.52803250e-05  1.00195405e+00  1.00002466e+00  1.00000000e+00
 3.80000000e+00  1.00000000e-02  1.00000000e+00 -7.16910093e-03 -4.27348093e-03  4.08414277e-03 -1.41506079e-07  7.10505481e-08 -8.59581687e-03 -5.54617104e-04  1.76923053e-07  4.80389899e-07 -1.99963780e-07 -3.84298396e-08
 3.90000000e+00  1.00000000e-02  0.00000000e+00  1.00488469e+00  1.00171438e+00 -1.60315685e-03  1.00000002e+00  1.00049976e+00  5.73412632e-03  2.06723597e-04  6.44015859e-05  1.00179506e+00  1.00002003e+00  1.00000000e+00
 3.90000000e+00  1.00000000e-02  1.00000000e+00 -7.01642860e-03 -4.14553844e-03  3.87657328e-03 -1.30897714e-07  6.57052378e-08 -8.23633401e-03 -4.99779390e-04  1.63655237e-07  4.54929242e-07 -1.92184603e-07 -3.37492025e-08
 4.00000000e+00  1.00000000e-02  0.00000000e+00  1.00468431e+00  1.00161672e+00 -1.47981781e-03  1.00000001e+00  1.00045155e+00  5.38487062e-03  1.81398474e-04  5.53142180e-05  1.00165077e+00  1.00001636e+00  1.00000000e+00
 4.00000000e+00  1.00000000e-02  1.00000000e+00 -6.86923789e-03 -4.02536340e-03  3.68448783e-03 -1.21323773e-07  6.08839331e-08 -7.89635134e-03 -4.51561307e-04  1.51681962e-07  4.30722795e-07 -1.84315722e-07 -2.97362768e-08
 4.10000000e+00  1.00000000e-02  0.00000000e+00  1.00449482e+00  1.00152739e+00 -1.36892980e-03  1.00000001e+00  1.00040901e+00  5.06120036e-03  1.59720574e-04  4.76887285e-05  1.00151976e+00  1.00001343e+00  1.00000000e+00
 4.10000000e+00  1.00000000e-02  1.00000000e+00 -6.72731481e-03 -3.91225164e-03  3.50637530e-03 -1.12661183e-07  5.65237947e-08 -7.57480373e-03 -4.09025401e-04  1.40849042e-07  4.07788243e-07 -1.76484932e-07 -2.62825356e-08
 4.20000000e+00  1.00000000e-02  0.00000000e+00  1.00431558e+00  1.00144544e+00 -1.26894793e-03  1.00000001e+00  1.00037137e+00  4.76111341e-03  1.41089462e-04  4.12623086e-05  1.00140074e+00  1.00001108e+00  1.00000000e+00
 4.20000000e+00  1.00000000e-02  1.00000000e+00 -6.59044711e-03 -3.80558301e-03  3.34090615e-03 -1.04804035e-07  5.25708486e-08 -7.27064313e-03 -3.71385807e-04  1.31023832e-07  3.86115115e-07 -1.68783730e-07 -2.32991508e-08
 4.30000000e+00  1.00000000e-02  0.00000000e+00  1.00414597e+00  1.00137008e+00 -1.17855336e-03  1.00000001e+00  1.00033796e+00  4.48274171e-03  1.25015419e-04  3.58241569e-05  1.00129253e+00  1.00000918e+00  1.00000000e+00
 4.30000000e+00  1.00000000e-02  1.00000000e+00 -6.45842601e-03 -3.70480897e-03  3.18690647e-03 -9.76608517e-08  4.89785518e-08 -6.98285248e-03 -3.37980796e-04  1.22091790e-07  3.65673640e-07 -1.61276350e-07 -2.07130600e-08
 4.40000000e+00  1.00000000e-02  0.00000000e+00  1.00398541e+00  1.00130060e+00 -1.09661542e-03  1.00000001e+00  1.00030823e+00  4.22435229e-03  1.11096926e-04  3.12042830e-05  1.00119406e+00  1.00000764e+00  1.00000000e+00
 4.40000000e+00  1.00000000e-02  1.00000000e+00 -6.33104746e-03 -3.60944244e-03  3.04333638e-03 -9.11523445e-08  4.57066206e-08 -6.71045463e-03 -3.08250814e-04  1.13953656e-07  3.46421215e-07 -1.54006562e-07 -1.84638881e-08
 4.50000000e+00  1.00000000e-02  0.00000000e+00  1.00383333e+00  1.00123640e+00 -1.02216078e-03  1.00000001e+00  1.00028170e+00  3.98434434e-03  9.90031406e-05  2.72649088e-05  1.00110437e+00  1.00000639e+00  1.00000000e+00
 4.50000000e+00  1.00000000e-02  1.00000000e+00 -6.20811315e-03 -3.51904934e-03  2.90927189e-03 -8.52095615e-08  4.27200658e-08 -6.45251786e-03 -2.81720804e-04  1.06523126e-07  3.28307116e-07 -1.47002797e-07 -1.65015208e-08
 2.02500000e+00  1.00000000e-01  0.00000000e+00  1.73970049e+00  1.14860650e+00 -2.18160813e-01  1.00059504e+00  1.10793696e+00  1.13897752e+00  9.01623605e-02  4.39851147e-02  1.46781468e+00  1.04520661e+00  1.00042113e+00
 2.02500000e+00  1.00000000e-01  1.00000000e+00 -7.43612511e-01 -1.66388579e-01  2.42947166e-01 -7.94036649e-04  1.13687911e-03 -1.14515213e+00 -9.96482781e-02  1.51738689e-03  3.04896846e-02  3.27732514e-03 -6.62959236e-04
 2.05000000e+00  1.00000000e-01  0.00000000e+00  1.42430903e+00  1.12239727e+00 -1.76786235e-01  1.00053219e+00  1.08606169e+00  6.60161486e-01  7.11039018e-02  3.41108815e-02  1.27395977e+00  1.03427135e+00  1.00035708e+00
 2.05000000e+00  1.00000000e-01  1.00000000e+00 -4.28621034e-01 -1.40881972e-01  2.02389604e-01 -7.40711116e-04  7.93737896e-04 -6.66953746e-01 -8.07139456e-02  1.21462273e-03  1.38129020e-02  2.04990334e-03 -6.02829862e-04
 2.10000000e+00  1.00000000e-01  0.00000000e+00  1.26015449e+00  1.09766921e+00 -1.37825566e-01  1.00044499e+00  1.06556863e+00  4.08386586e-01  5.27657163e-02  2.46931813e-02  1.17097440e+00  1.02380402e+00  1.00026762e+00
 2.10000000e+00  1.00000000e-01  1.00000000e+00 -2.65292976e-01 -1.17416949e-01  1.64830989e-01 -6.68880707e-04  5.47683693e-04 -4.16442509e-01 -6.25092749e-02  9.70435110e-04  6.05163721e-03  1.09159393e-03 -5.14517550e-04
 2.20000000e+00  1.00000000e-01  0.00000000e+00  1.17186492e+00  1.07449559e+00 -1.01370691e-01  1.00032893e+00  1.04652829e+00  2.69867514e-01  3.53943457e-02  1.59127608e-02  1.11303214e+00  1.01421059e+00  1.00016190e+00
 2.20000000e+00  1.00000000e-01  1.00000000e+00 -1.78704967e-01 -9.62713062e-02  1.30384677e-01 -5.70577735e-04  3.80872194e-04 -2.80466302e-01 -4.50529038e-02  7.64340771e-04  2.67172152e-03  4.11846777e-04 -3.96068790e-04
 2.30000000e+00  1.00000000e-01  0.00000000e+00  1.13890989e+00  1.06160306e+00 -8.11763135e-02  1.00024993e+00  1.03609415e+00  2.16013057e-01  2.59689860e-02  1.12604550e-02  1.08963942e+00  1.00937020e+00  1.00010239e+00
 2.30000000e+00  1.00000000e-01  1.00000000e+00 -1.47462147e-01 -8.48652676e-02  1.11361345e-01 -4.96417043e-04  3.04891795e-04 -2.29078144e-01 -3.52376500e-02  6.46524600e-04  1.75004779e-03  1.32471793e-04 -3.14143566e-04
 2.40000000e+00  1.00000000e-01  0.00000000e+00  1.12031096e+00  1.05276354e+00 -6.74424529e-02  1.00019284e+00  1.02909322e+00  1.84324554e-01  1.98406073e-02  8.31090581e-03  1.07539480e+00  1.00647873e+00  1.00006648e+00
