'D'-form resistance scalars, generated 26/04/2020 20:38:12
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM
 2.70000000e+00  1.00000000e-02  1.00000000e+00 -1.22566191e-04 -2.18542481e-05  1.81260785e-05 -7.46981618e-13  9.56517440e-11 -1.23638182e-04 -4.87060437e-06  2.96772374e-11  3.56573744e-08  3.27372148e-09 -5.37150968e-13
 2.80000000e+00  1.00000000e-02  0.00000000e+00  8.25941364e-05  1.03922559e-05 -7.71739865e-06  2.51789700e-11  6.23808155e-06  8.09362792e-05  1.92812578e-06  1.55851132e-06  5.34208047e-05  7.78811423e-07  1.41777701e-11
 2.80000000e+00  1.00000000e-02  1.00000000e+00 -9.24590043e-05 -1.54197886e-05  1.24639153e-05 -4.13298710e-13  1.00466481e-11 -9.15392642e-05 -3.11399038e-06  4.83501357e-12  2.46946624e-08  1.95396558e-09 -2.67355879e-13
 2.90000000e+00  1.00000000e-02  0.00000000e+00  6.21909941e-05  7.44861537e-06 -5.20363315e-06  1.89823712e-11  4.10027645e-06  5.95374017e-05  1.21189674e-06  9.54913057e-07  3.85212303e-05  4.44830011e-07  9.99156313e-12
 2.90000000e+00  1.00000000e-02  1.00000000e+00 -7.08982868e-05 -1.11537429e-05  8.78865320e-06 -2.39941065e-13 -2.61520498e-11 -6.88076823e-05 -2.04681837e-06 -4.67277188e-12  1.75216879e-08  1.21036341e-09 -1.40746095e-13
 3.00000000e+00  1.00000000e-02  0.00000000e+00  4.74773677e-05  5.51570295e-06 -3.58896918e-06  1.44562140e-11  2.75759392e-06  4.43271308e-05  7.81015208e-07  6.00078862e-07  2.80903863e-05  2.61209044e-07  7.23354709e-12
 3.00000000e+00  1.00000000e-02  1.00000000e+00 -5.50863451e-05 -8.23289660e-06  6.32568704e-06 -1.44763957e-13 -3.80978210e-11 -5.23627980e-05 -1.37655968e-06 -7.39772405e-12  1.26566190e-08  7.71351192e-10 -7.70390646e-14
 3.10000000e+00  1.00000000e-02  0.00000000e+00  3.66957000e-05  4.21326992e-06 -2.52461578e-06  1.11120002e-11  1.89210589e-06  3.33592760e-05  5.14497736e-07  3.85582698e-07  2.06938206e-05  1.57188762e-07  5.36348743e-12
 3.10000000e+00  1.00000000e-02  1.00000000e+00 -4.32937554e-05 -6.18412459e-06  4.63470408e-06 -9.02029850e-14 -3.96953875e-11 -4.02846859e-05 -9.44511271e-07 -7.51161295e-12  9.28824723e-09  5.04131533e-10 -4.37578230e-14
 3.20000000e+00  1.00000000e-02  0.00000000e+00  2.86852812e-05  3.31576217e-06 -1.80702508e-06  8.61555272e-12  1.32142997e-06  2.53500820e-05  3.45586318e-07  2.52705788e-07  1.53882466e-05  9.66846274e-08  4.06141787e-12
