Resistance scalars, generated 25/01/2019 15:36:04. Time to generate 0h50m57s
             s'          lambda            X11A            X12A            X21A            X22A            Y11A            Y12A            Y21A            Y22A            Y11B            Y12B            Y21B            Y22B            X11C            X12C            X21C            X22C            Y11C            Y12C            Y21C            Y22C            X11G            X12G            X21G            X22G            Y11G            Y12G            Y21G            Y22G            Y11H            Y12H            Y21H            Y22H            X11M            X12M            X21M            X22M            Y11M            Y12M            Y21M            Y22M            Z11M            Z12M            Z21M            Z22M 
 3.90000000e+00  1.00000000e-02  1.00488469e+00 -7.01642828e-03 -7.01642828e-03  1.00787657e-02  1.00171438e+00 -4.14553839e-03 -4.14553839e-03  1.00246362e-02 -1.06877122e-03  2.58438215e-03 -2.58351466e-07  1.32609786e-09  1.33333336e+00 -1.74530286e-07 -1.74530286e-07  1.33333339e-06  1.33399969e+00  8.76069907e-08  8.76069907e-08  1.33333359e-06  3.82275071e-03 -5.49088909e-03  4.84593527e-07 -8.97998462e-09  1.37815729e-04 -3.33186256e-04  5.58238456e-08 -1.05234493e-09  8.58687801e-05  2.18206984e-07  2.18434223e-07 -9.55940510e-14  1.11310562e+00  5.05476771e-07  5.05476771e-07  1.11111208e-06  1.11113337e+00 -2.13538455e-07 -2.13538455e-07  1.11111154e-06  1.11111111e+00 -3.74991139e-08 -3.74991139e-08  1.11111115e-06
 4.00000000e+00  1.00000000e-02  1.00468431e+00 -6.86923772e-03 -6.86923772e-03  1.00735767e-02  1.00161672e+00 -4.02536337e-03 -4.02536337e-03  1.00227877e-02 -9.86545198e-04  2.45632520e-03 -2.45559260e-07  1.20814042e-09  1.33333335e+00 -1.61765030e-07 -1.61765030e-07  1.33333338e-06  1.33393539e+00  8.11785809e-08  8.11785809e-08  1.33333355e-06  3.58991366e-03 -5.26423410e-03  4.68006365e-07 -8.04095696e-09  1.20932315e-04 -3.01040869e-04  5.04156224e-08 -9.00247704e-10  7.37522901e-05  2.02242616e-07  2.02426967e-07 -7.84131067e-14  1.11294530e+00  4.78580800e-07  4.78580800e-07  1.11111193e-06  1.11112929e+00 -2.04795250e-07 -2.04795250e-07  1.11111146e-06  1.11111111e+00 -3.30403076e-08 -3.30403076e-08  1.11111114e-06
 4.10000000e+00  1.00000000e-02  1.00449482e+00 -6.72731471e-03 -6.72731471e-03  1.00689212e-02  1.00152739e+00 -3.91225163e-03 -3.91225163e-03  1.00211496e-02 -9.12619865e-04  2.33758352e-03 -2.33696160e-07  1.10440735e-09  1.33333335e+00 -1.50214911e-07 -1.50214911e-07  1.33333337e-06  1.33387868e+00  7.53650614e-08  7.53650614e-08  1.33333352e-06  3.37413353e-03 -5.04986908e-03  4.51957338e-07 -7.23538690e-09  1.06480382e-04 -2.72683600e-04  4.56489025e-08 -7.74569997e-10  6.35849711e-05  1.87798723e-07  1.87949358e-07 -6.48241865e-14  1.11279974e+00  4.53098004e-07  4.53098004e-07  1.11111181e-06  1.11112604e+00 -1.96094371e-07 -1.96094371e-07  1.11111140e-06  1.11111111e+00 -2.92028173e-08 -2.92028173e-08  1.11111113e-06
 4.20000000e+00  1.00000000e-02  1.00431558e+00 -6.59044706e-03 -6.59044706e-03  1.00647247e-02  1.00144544e+00 -3.80558301e-03 -3.80558301e-03  1.00196904e-02 -8.45965283e-04  2.22727076e-03 -2.22674022e-07  1.01273001e-09  1.33333335e+00 -1.39738714e-07 -1.39738714e-07  1.33333336e-06  1.33382849e+00  7.00944657e-08  7.00944657e-08  1.33333349e-06  3.17407558e-03 -4.84709538e-03  4.36466922e-07 -6.53950144e-09  9.40596410e-05 -2.47590537e-04  4.14340614e-08 -6.69966543e-10  5.50164114e-05  1.74698443e-07  1.74822349e-07 -5.39747788e-14  1.11266749e+00  4.29016771e-07  4.29016771e-07  1.11111171e-06  1.11112342e+00 -1.87537478e-07 -1.87537478e-07  1.11111135e-06  1.11111111e+00 -2.58879453e-08 -2.58879453e-08  1.11111113e-06
 4.30000000e+00  1.00000000e-02  1.00414597e+00 -6.45842589e-03 -6.45842589e-03  1.00609255e-02  1.00137008e+00 -3.70480895e-03 -3.70480895e-03  1.00183841e-02 -7.85702235e-04  2.12460430e-03 -2.12414967e-07  9.31345870e-10  1.33333335e+00 -1.30214469e-07 -1.30214469e-07  1.33333336e-06  1.33378395e+00  6.53047377e-08  6.53047377e-08  1.33333347e-06  2.98849442e-03 -4.65523490e-03  4.21544519e-07 -5.93445072e-09  8.33436120e-05 -2.25320530e-04  3.76958417e-08 -5.82295528e-10  4.77655423e-05  1.62789054e-07  1.62891598e-07 -4.52328515e-14  1.11254726e+00  4.06303998e-07  4.06303998e-07  1.11111163e-06  1.11112132e+00 -1.79195946e-07 -1.79195946e-07  1.11111131e-06  1.11111111e+00 -2.30145112e-08 -2.30145112e-08  1.11111112e-06
 4.40000000e+00  1.00000000e-02  1.00398541e+00 -6.33104739e-03 -6.33104739e-03  1.00574727e-02  1.00130060e+00 -3.60944243e-03 -3.60944243e-03  1.00172098e-02 -7.31076941e-04  2.02889091e-03 -2.02849962e-07  8.58782262e-10  1.33333334e+00 -1.21536459e-07 -1.21536459e-07  1.33333336e-06  1.33374431e+00  6.09421618e-08  6.09421618e-08  1.33333345e-06  2.81623483e-03 -4.47363637e-03  4.07191374e-07 -5.40557726e-09  7.40646173e-05 -2.05500542e-04  3.43707932e-08 -5.08418489e-10  4.16057105e-05  1.51938209e-07  1.52023568e-07 -3.81428242e-14  1.11243785e+00  3.84912435e-07  3.84912435e-07  1.11111156e-06  1.11111960e+00 -1.71118403e-07 -1.71118403e-07  1.11111128e-06  1.11111111e+00 -2.05154312e-08 -2.05154312e-08  1.11111112e-06
 4.50000000e+00  1.00000000e-02  1.00383333e+00 -6.20811311e-03 -6.20811311e-03  1.00543233e-02  1.00123640e+00 -3.51904933e-03 -3.51904933e-03  1.00161496e-02 -6.81440519e-04  1.93951459e-03 -1.93917646e-07  7.93842397e-10  1.33333334e+00 -1.13612749e-07 -1.13612749e-07  1.33333335e-06  1.33370894e+00  5.69600883e-08  5.69600883e-08  1.33333344e-06  2.65622954e-03 -4.30167855e-03  3.93402110e-07 -4.94070270e-09  6.60020936e-05 -1.87813869e-04  3.14051237e-08 -4.45780741e-10  3.63532116e-05  1.42030835e-07  1.42102271e-07 -3.23450696e-14  1.11233819e+00  3.64785669e-07  3.64785669e-07  1.11111151e-06  1.11111821e+00 -1.63336441e-07 -1.63336441e-07  1.11111125e-06  1.11111111e+00 -1.83350231e-08 -1.83350231e-08  1.11111112e-06
 2.02500000e+00  1.00000000e-01  1.73546799e+00 -7.39884656e-01 -7.39374864e-01  7.43945042e-01  1.14856649e+00 -1.66348594e-01 -1.66348594e-01  1.87969828e-01 -1.45389488e-01  1.61915025e-01 -2.20637617e-03  1.48253211e-03  1.33412655e+00 -1.05870953e-03 -1.05851456e-03  1.44663848e-03  1.47718635e+00  1.52169538e-03  1.52169538e-03  1.77620413e-03  7.55050907e-01 -7.59679559e-01  4.96435574e-02 -4.93756997e-02  6.00929161e-02 -6.64168566e-02  4.40384964e-03 -4.10590192e-03  5.86273949e-02  2.02495264e-03  5.39899175e-03 -1.32222088e-04  1.62838337e+00  3.36114602e-02  3.36120724e-02  4.04550720e-03  1.16132895e+00  3.63607455e-03  3.63606456e-03  1.87472400e-03  1.11157903e+00 -7.36620538e-04 -7.36620538e-04  1.23167212e-03
 2.05000000e+00  1.00000000e-01  1.42330256e+00 -4.27739905e-01 -4.27612741e-01  4.32236577e-01  1.12237817e+00 -1.40862795e-01 -1.40862795e-01  1.63661455e-01 -1.17833546e-01  1.34902593e-01 -1.59704631e-03  8.83689499e-04  1.33404290e+00 -9.87606386e-04 -9.87585291e-04  1.40668717e-03  1.44805221e+00  1.06104008e-03  1.06104008e-03  1.58282206e-03  4.39087541e-01 -4.43744435e-01  2.23805963e-02 -2.20531344e-02  4.73954741e-02 -5.38021359e-02  2.87070523e-03 -2.57562995e-03  4.54721743e-02  1.62028469e-03  3.68008753e-03 -8.20811970e-05  1.41490999e+00  1.52800837e-02  1.52803137e-02  2.35753391e-03  1.14918505e+00  2.27504379e-03  2.27504379e-03  1.56051178e-03  1.11150786e+00 -6.69804981e-04 -6.69804981e-04  1.19534916e-03
 2.10000000e+00  1.00000000e-01  1.25995976e+00 -2.65112472e-01 -2.65098197e-01  2.70515841e-01  1.09766162e+00 -1.17409387e-01 -1.17409387e-01  1.42470651e-01 -9.18739824e-02  1.09877720e-01 -1.15576352e-03  4.65556777e-04  1.33392665e+00 -8.91831347e-04 -8.91830674e-04  1.37056621e-03  1.42074566e+00  7.31253827e-04  7.31253827e-04  1.44832548e-03  2.72058558e-01 -2.77444001e-01  9.62277280e-03 -9.24406985e-03  3.51744877e-02 -4.16701963e-02  1.69568382e-03 -1.40974460e-03  3.29208234e-02  1.29417279e-03  2.35813136e-03 -4.22526119e-05  1.30095703e+00  6.70712313e-03  6.70710486e-03  1.59086171e-03  1.13755814e+00  1.21171418e-03  1.21171178e-03  1.33196096e-03  1.11140842e+00 -5.71628613e-04 -5.71628613e-04  1.15693314e-03
