             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM 
 3.00000000e+00  1.00000000e-02  0.00000000e+00  1.00728896e+00  1.00323471e+00 -2.48583863e-03  1.33333344e+00  1.33524392e+00  6.92866327e-03  5.41692259e-04  4.16146535e-04  1.11550202e+00  1.11129286e+00  1.11111113e+00
 3.00000000e+00  1.00000000e-02  1.00000000e+00 -8.61252634e-03 -5.70509404e-03  4.38421066e-03 -3.83443198e-07  1.93397738e-07 -8.18655866e-03 -9.55229957e-04  4.79670089e-07  7.80760434e-07 -2.40711570e-07 -1.39231660e-07
 3.10000000e+00  1.00000000e-02  0.00000000e+00  1.00696115e+00  1.00297846e+00 -2.23305249e-03  1.33333342e+00  1.33500774e+00  6.47763691e-03  4.55722057e-04  3.41545593e-04  1.11512970e+00  1.11125085e+00  1.11111112e+00
 3.10000000e+00  1.00000000e-02  1.00000000e+00 -8.40866736e-03 -5.47234131e-03  4.10271692e-03 -3.47519887e-07  1.75115039e-07 -7.82436959e-03 -8.37157778e-04  4.34676976e-07  7.53473987e-07 -2.50467519e-07 -1.18177752e-07
 3.20000000e+00  1.00000000e-02  0.00000000e+00  1.00664961e+00  1.00275243e+00 -2.01392882e-03  1.33333341e+00  1.33480709e+00  6.05530010e-03  3.85719012e-04  2.82116575e-04  1.11478729e+00  1.11121947e+00  1.11111112e+00
 3.20000000e+00  1.00000000e-02  1.00000000e+00 -8.21190909e-03 -5.25893686e-03  3.84785870e-03 -3.15947389e-07  1.59081973e-07 -7.47773650e-03 -7.36848844e-04  3.95146894e-07  7.23092061e-07 -2.54326253e-07 -1.00831041e-07
 3.30000000e+00  1.00000000e-02  0.00000000e+00  1.00635402e+00  1.00255194e+00 -1.82295993e-03  1.33333340e+00  1.33463571e+00  5.66126267e-03  3.28305795e-04  2.34424799e-04  1.11447390e+00  1.11119580e+00  1.11111112e+00
 3.30000000e+00  1.00000000e-02  1.00000000e+00 -8.02202285e-03 -5.06245908e-03  3.61628897e-03 -2.88086469e-07  1.44959058e-07 -7.14718422e-03 -6.51170281e-04  3.60273298e-07  6.91074270e-07 -2.53965214e-07 -8.64518733e-08
 3.40000000e+00  1.00000000e-02  0.00000000e+00  1.00607394e+00  1.00237321e+00 -1.65570489e-03  1.33333339e+00  1.33448859e+00  5.29460340e-03  2.80903293e-04  1.95889281e-04  1.11418805e+00  1.11117780e+00  1.11111112e+00
 3.40000000e+00  1.00000000e-02  1.00000000e+00 -7.83882535e-03 -4.88089656e-03  3.40519687e-03 -2.63407363e-07  1.32467223e-07 -6.83282415e-03 -5.77622069e-04  3.29388943e-07  6.58471139e-07 -2.50612868e-07 -7.44645381e-08
 3.50000000e+00  1.00000000e-02  0.00000000e+00  1.00580881e+00  1.00221314e+00 -1.50854931e-03  1.33333338e+00  1.33436172e+00  4.95405321e-03  2.41522479e-04  1.64551981e-04  1.11392791e+00  1.11116400e+00  1.11111111e+00
 3.50000000e+00  1.00000000e-02  1.00000000e+00 -7.66212752e-03 -4.71255545e-03  3.21219744e-03 -2.41468517e-07  1.21375995e-07 -6.53445347e-03 -5.14192311e-04  3.01938535e-07  6.26012933e-07 -2.45173809e-07 -6.44174973e-08
 3.60000000e+00  1.00000000e-02  0.00000000e+00  1.00555801e+00  1.00206919e+00 -1.37852892e-03  1.33333337e+00  1.33425183e+00  4.63815311e-03  2.08615890e-04  1.38914603e-04  1.11369155e+00  1.11115333e+00  1.11111111e+00
 3.60000000e+00  1.00000000e-02  1.00000000e+00 -7.49174192e-03 -4.55599838e-03  3.03525369e-03 -2.21899915e-07  1.11493174e-07 -6.25166500e-03 -4.59250323e-04  2.77457207e-07  5.94205764e-07 -2.38315247e-07 -5.59540536e-08
 3.70000000e+00  1.00000000e-02  0.00000000e+00  1.00532085e+00  1.00193923e+00 -1.26319463e-03  1.33333336e+00  1.33415625e+00  4.34534857e-03  1.80969606e-04  1.17821315e-04  1.11347698e+00  1.11114502e+00  1.11111111e+00
 3.70000000e+00  1.00000000e-02  1.00000000e+00 -7.32746823e-03 -4.40999398e-03  2.87261347e-03 -2.04389913e-07  1.02657784e-07 -5.98390762e-03 -4.11465336e-04  2.55553778e-07  5.63385191e-07 -2.30530091e-07 -4.87905182e-08
 3.80000000e+00  1.00000000e-02  0.00000000e+00  1.00509664e+00  1.00182146e+00 -1.16050994e-03  1.33333336e+00  1.33407281e+00  4.07406419e-03  1.57624144e-04  1.00373764e-04  1.11328228e+00  1.11113851e+00  1.11111111e+00
 3.80000000e+00  1.00000000e-02  1.00000000e+00 -7.16910033e-03 -4.27348083e-03  2.72276178e-03 -1.88674772e-07  9.47340782e-08 -5.73054410e-03 -3.69744727e-04  2.35897406e-07  5.33766231e-07 -2.22181992e-07 -4.26998218e-08
 3.90000000e+00  1.00000000e-02  0.00000000e+00  1.00488469e+00  1.00171438e+00 -1.06877122e-03  1.33333336e+00  1.33399969e+00  3.82275071e-03  1.37815729e-04  8.58687801e-05  1.11310562e+00  1.11113337e+00  1.11111111e+00
 3.90000000e+00  1.00000000e-02  1.00000000e+00 -7.01642828e-03 -4.14553839e-03  2.58438215e-03 -1.74530286e-07  8.76069907e-08 -5.49088909e-03 -3.33186256e-04  2.18206984e-07  5.05476771e-07 -2.13538455e-07 -3.74991139e-08
 4.00000000e+00  1.00000000e-02  0.00000000e+00  1.00468431e+00  1.00161672e+00 -9.86545198e-04  1.33333335e+00  1.33393539e+00  3.58991366e-03  1.20932315e-04  7.37522901e-05  1.11294530e+00  1.11112929e+00  1.11111111e+00
 4.00000000e+00  1.00000000e-02  1.00000000e+00 -6.86923772e-03 -4.02536337e-03  2.45632520e-03 -1.61765030e-07  8.11785809e-08 -5.26423410e-03 -3.01040869e-04  2.02242616e-07  4.78580800e-07 -2.04795250e-07 -3.30403076e-08
 4.10000000e+00  1.00000000e-02  0.00000000e+00  1.00449482e+00  1.00152739e+00 -9.12619865e-04  1.33333335e+00  1.33387868e+00  3.37413353e-03  1.06480382e-04  6.35849711e-05  1.11279974e+00  1.11112604e+00  1.11111111e+00
 4.10000000e+00  1.00000000e-02  1.00000000e+00 -6.72731471e-03 -3.91225163e-03  2.33758352e-03 -1.50214911e-07  7.53650614e-08 -5.04986908e-03 -2.72683600e-04  1.87798723e-07  4.53098004e-07 -1.96094371e-07 -2.92028173e-08
 4.20000000e+00  1.00000000e-02  0.00000000e+00  1.00431558e+00  1.00144544e+00 -8.45965283e-04  1.33333335e+00  1.33382849e+00  3.17407558e-03  9.40596410e-05  5.50164114e-05  1.11266749e+00  1.11112342e+00  1.11111111e+00
 4.20000000e+00  1.00000000e-02  1.00000000e+00 -6.59044706e-03 -3.80558301e-03  2.22727076e-03 -1.39738714e-07  7.00944657e-08 -4.84709538e-03 -2.47590537e-04  1.74698443e-07  4.29016771e-07 -1.87537478e-07 -2.58879453e-08
 4.30000000e+00  1.00000000e-02  0.00000000e+00  1.00414597e+00  1.00137008e+00 -7.85702235e-04  1.33333335e+00  1.33378395e+00  2.98849442e-03  8.33436120e-05  4.77655423e-05  1.11254726e+00  1.11112132e+00  1.11111111e+00
 4.30000000e+00  1.00000000e-02  1.00000000e+00 -6.45842589e-03 -3.70480895e-03  2.12460430e-03 -1.30214469e-07  6.53047377e-08 -4.65523490e-03 -2.25320530e-04  1.62789054e-07  4.06303998e-07 -1.79195946e-07 -2.30145112e-08
 4.40000000e+00  1.00000000e-02  0.00000000e+00  1.00398541e+00  1.00130060e+00 -7.31076941e-04  1.33333334e+00  1.33374431e+00  2.81623483e-03  7.40646173e-05  4.16057105e-05  1.11243785e+00  1.11111960e+00  1.11111111e+00
 4.40000000e+00  1.00000000e-02  1.00000000e+00 -6.33104739e-03 -3.60944243e-03  2.02889091e-03 -1.21536459e-07  6.09421618e-08 -4.47363637e-03 -2.05500542e-04  1.51938209e-07  3.84912435e-07 -1.71118403e-07 -2.05154312e-08
 4.50000000e+00  1.00000000e-02  0.00000000e+00  1.00383333e+00  1.00123640e+00 -6.81440519e-04  1.33333334e+00  1.33370894e+00  2.65622954e-03  6.60020936e-05  3.63532116e-05  1.11233819e+00  1.11111821e+00  1.11111111e+00
 4.50000000e+00  1.00000000e-02  1.00000000e+00 -6.20811311e-03 -3.51904933e-03  1.93951459e-03 -1.13612749e-07  5.69600883e-08 -4.30167855e-03 -1.87813869e-04  1.42030835e-07  3.64785669e-07 -1.63336441e-07 -1.83350231e-08
 2.00001000e+00  1.00000000e-01  0.00000000e+00  1.50396517e+03  1.47595069e+00 -4.92974462e-01  1.33428622e+00  1.84931994e+00  1.50303605e+03  2.13961933e-01  2.20269030e-01  1.00318295e+03  1.30729929e+00  1.11173077e+00
