Mobility scalars, generated 25/01/2019 15:36:04. Time to generate 0h50m57s
             s'          lambda            x11a            x12a            x21a            x22a            y11a            y12a            y21a            y22a            y11b            y12b            y21b            y22b            x11c            x12c            x21c            x22c            y11c            y12c            y21c            y22c            x11g            x12g            x21g            x22g            y11g            y12g            y21g            y22g            y11h            y12h            y21h            y22h            x11m            x12m            x21m            x22m            y11m            y12m            y21m            y22m            z11m            z12m            z21m            z22m 
 3.90000000e+00  1.00000000e-02  9.99999863e-01  6.96159384e-01  6.96159384e-01  9.97031366e+01  9.99999994e-01  4.13535015e-01  4.13535015e-01  9.99751019e+01  1.63140477e-08 -1.93352290e-01  1.93352269e-01 -6.60028272e-03  7.50000000e-01  9.81732815e-02  9.81732815e-02  7.49999981e+05  7.49999952e-01 -4.90866133e-02 -4.90866133e-02  7.49999894e+05  2.16217161e-07 -5.44797621e-01  4.78341960e-07 -5.57978302e-07 -1.06470413e-08 -3.32367339e-02  5.53886788e-08 -3.98884201e-08 -3.14578769e-08  1.63622154e-01  1.63622187e-07 -9.32183373e-08  1.11111134e+00  5.02215185e-07  5.02215185e-07  1.11111193e-06  1.11111115e+00 -2.13608362e-07 -2.13608362e-07  1.11111146e-06  1.11111111e+00 -3.74991139e-08 -3.74991139e-08  1.11111115e-06
 4.00000000e+00  1.00000000e-02  9.99999872e-01  6.81906441e-01  6.81906441e-01  9.97346034e+01  9.99999995e-01  4.01621107e-01  4.01621107e-01  9.99789865e+01  1.36644475e-08 -1.83805518e-01  1.83805502e-01 -5.43435023e-03  7.50000000e-01  9.09928264e-02  9.09928264e-02  7.49999985e+05  7.49999959e-01 -4.54963921e-02 -4.54963921e-02  7.49999913e+05  1.98061711e-07 -5.22578315e-01  4.62523124e-07 -4.82825099e-07 -9.22705660e-09 -3.00356349e-02  5.00540754e-08 -3.25506819e-08 -2.79613976e-08  1.51654725e-01  1.51654749e-07 -7.72910809e-08  1.11111131e+00  4.75779385e-07  4.75779385e-07  1.11111179e-06  1.11111115e+00 -2.04849293e-07 -2.04849293e-07  1.11111139e-06  1.11111111e+00 -3.30403076e-08 -3.30403076e-08  1.11111114e-06
 4.10000000e+00  1.00000000e-02  9.99999880e-01  6.68126580e-01  6.68126580e-01  9.97618985e+01  9.99999996e-01  3.90399459e-01  3.90399459e-01  9.99821712e+01  1.14953766e-08 -1.74948737e-01  1.74948725e-01 -4.50087494e-03  7.50000000e-01  8.44958850e-02  8.44958850e-02  7.49999988e+05  7.49999964e-01 -4.22479261e-02 -4.22479261e-02  7.49999928e+05  1.81365747e-07 -5.01530178e-01  4.47123129e-07 -4.19851223e-07 -8.00370506e-09 -2.72108035e-02  4.53465198e-08 -2.67403807e-08 -2.48605401e-08  1.40826486e-01  1.40826504e-07 -6.45483093e-08  1.11111129e+00  4.50678773e-07  4.50678773e-07  1.11111168e-06  1.11111115e+00 -1.96136496e-07 -1.96136496e-07  1.11111134e-06  1.11111111e+00 -2.92028173e-08 -2.92028173e-08  1.11111113e-06
 4.20000000e+00  1.00000000e-02  9.99999888e-01  6.54806417e-01  6.54806417e-01  9.97856868e+01  9.99999997e-01  3.79810419e-01  3.79810419e-01  9.99847985e+01  9.71098948e-09 -1.66717020e-01  1.66717011e-01 -3.74831339e-03  7.50000000e-01  7.86030246e-02  7.86030246e-02  7.49999991e+05  7.49999969e-01 -3.93014995e-02 -3.93014995e-02  7.49999940e+05  1.66063287e-07 -4.81592337e-01  4.32184765e-07 -3.66747301e-07 -6.95080212e-09 -2.47103923e-02  4.11796083e-08 -2.21035206e-08 -2.21166750e-08  1.31005050e-01  1.31005063e-07 -5.42621354e-08  1.11111128e+00  4.26917140e-07  4.26917140e-07  1.11111159e-06  1.11111114e+00 -1.87570566e-07 -1.87570566e-07  1.11111130e-06  1.11111111e+00 -2.58879453e-08 -2.58879453e-08  1.11111113e-06
 4.30000000e+00  1.00000000e-02  9.99999895e-01  6.41931524e-01  6.41931524e-01  9.98065108e+01  9.99999997e-01  3.69801031e-01  3.69801031e-01  9.99869793e+01  8.23621664e-09 -1.59052906e-01  1.59052898e-01 -3.13820841e-03  7.50000000e-01  7.32456373e-02  7.32456373e-02  7.49999993e+05  7.49999973e-01 -3.66228086e-02 -3.66228086e-02  7.49999950e+05  1.52072565e-07 -4.62704344e-01  4.17734963e-07 -3.21694105e-07 -6.04483463e-09 -2.24907008e-02  3.74805140e-08 -1.83736280e-08 -1.96919420e-08  1.22076070e-01  1.22076080e-07 -4.58876444e-08  1.11111126e+00  4.04473358e-07  4.04473358e-07  1.11111151e-06  1.11111114e+00 -1.79222120e-07 -1.79222120e-07  1.11111127e-06  1.11111111e+00 -2.30145112e-08 -2.30145112e-08  1.11111112e-06
 4.40000000e+00  1.00000000e-02  9.99999902e-01  6.29486846e-01  6.29486846e-01  9.98248110e+01  9.99999998e-01  3.60324119e-01  3.60324119e-01  9.99887986e+01  7.01191684e-09 -1.51905383e-01  1.51905377e-01 -2.63957262e-03  7.50000000e-01  6.83642572e-02  6.83642572e-02  7.49999994e+05  7.49999977e-01 -3.41821206e-02 -3.41821206e-02  7.49999958e+05  1.39303881e-07 -4.44807122e-01  4.03788595e-07 -2.83289114e-07 -5.26507725e-09 -2.05147445e-02  3.41876024e-08 -1.53583299e-08 -1.75506487e-08  1.13940435e-01  1.13940442e-07 -3.90260548e-08  1.11111124e+00  3.83309438e-07  3.83309438e-07  1.11111145e-06  1.11111114e+00 -1.71139249e-07 -1.71139249e-07  1.11111124e-06  1.11111111e+00 -2.05154312e-08 -2.05154312e-08  1.11111112e-06
 4.50000000e+00  1.00000000e-02  9.99999909e-01  6.17457025e-01  6.17457025e-01  9.98409554e+01  9.99999998e-01  3.51337524e-01  3.51337524e-01  9.99903245e+01  5.99123748e-09 -1.45229047e-01  1.45229042e-01 -2.23031531e-03  7.50000000e-01  6.39071702e-02  6.39071702e-02  7.49999995e+05  7.49999980e-01 -3.19535787e-02 -3.19535787e-02  7.49999964e+05  1.27664942e-07 -4.27843588e-01  3.90351403e-07 -2.50375581e-07 -4.59348662e-09 -1.87511008e-02  3.12485080e-08 -1.29025851e-08 -1.56599665e-08  1.06511955e-01  1.06511961e-07 -3.33614075e-08  1.11111123e+00  3.63376404e-07  3.63376404e-07  1.11111140e-06  1.11111114e+00 -1.63353148e-07 -1.63353148e-07  1.11111122e-06  1.11111111e+00 -1.83350231e-08 -1.83350231e-08  1.11111112e-06
 2.02500000e+00  1.00000000e-01  9.99871449e-01  9.94414239e-01  9.93729072e-01  2.33249070e+00  9.99104898e-01  8.78919854e-01  8.78884848e-01  6.68172523e+00  1.47491436e-03 -6.41826672e-01  5.06208685e-01 -3.93534704e+00  7.49989563e-01  5.48873204e-01  5.48772128e-01  6.91659324e+02  7.47564725e-01 -1.02906483e-01 -1.03133873e-01  5.67000008e+02  3.81817011e-05 -1.02111213e+00  5.71107385e-04 -6.58021001e-02  5.52513853e-04 -3.45364812e-01  8.50117954e-04 -2.06190004e-02  9.02649650e-04  8.50322087e-01  1.40792963e-03 -9.39129318e-02  1.11121881e+00 -1.69013623e-06 -1.27530164e-06  1.86058951e-03  1.11183689e+00  1.01025601e-03  1.01024602e-03  1.65787970e-03  1.11157903e+00 -7.36620538e-04 -7.36620538e-04  1.23167212e-03
 2.05000000e+00  1.00000000e-01  9.99861634e-01  9.89459809e-01  9.89165648e-01  3.29242294e+00  9.99307548e-01  8.56288190e-01  8.56279591e-01  7.36924459e+00  1.15651240e-03 -6.14770188e-01  5.29447033e-01 -2.83815628e+00  7.49990888e-01  5.26553315e-01  5.26542068e-01  7.11259789e+02  7.48064895e-01 -1.57070006e-01 -1.57164838e-01  6.34006995e+02  9.00339560e-05 -1.02653488e+00  5.63296580e-04 -5.04635452e-02  3.82077416e-04 -3.23343356e-01  7.02437479e-04 -1.44928472e-02  6.30876525e-04  8.42337249e-01  1.17909627e-03 -6.14480111e-02  1.11120420e+00  1.86581096e-04  1.86762448e-04  1.60720973e-03  1.11156868e+00  7.40861204e-04  7.40861204e-04  1.46305657e-03  1.11150786e+00 -6.69804981e-04 -6.69804981e-04  1.19534916e-03
 2.10000000e+00  1.00000000e-01  9.99843303e-01  9.79872118e-01  9.79819355e-01  4.65688933e+00  9.99508126e-01  8.21298082e-01  8.21293507e-01  8.14549974e+00  8.42192719e-04 -5.75986461e-01  5.33180071e-01 -1.67211996e+00  7.49992687e-01  4.88022385e-01  4.88022017e-01  7.29943019e+02  7.48554770e-01 -1.92122399e-01 -1.92160808e-01  6.91512510e+02  1.70924621e-04 -1.02544341e+00  5.63746383e-04 -3.36195235e-02  2.15781203e-04 -2.89409873e-01  5.57571476e-04 -8.80281206e-03  3.63307289e-04  8.00179947e-01  9.59886260e-04 -3.29326265e-02  1.11125728e+00  3.86518368e-04  3.86494650e-04  1.38005769e-03  1.11132836e+00  4.60900309e-04  4.60897909e-04  1.29794054e-03  1.11140842e+00 -5.71628613e-04 -5.71628613e-04  1.15693314e-03
