'D'-form nondimensionalised resistance scalars, generated 05/09/2023 22:40:55
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM 
 3.10000000e+00  1.00000000e-02  0.00000000e+00  3.58401818e-05  3.36192279e-06 -3.78223568e-06  8.33400016e-12  1.41838217e-06  5.00319344e-05  7.70788534e-07  2.89044224e-07  1.86248820e-05  1.41399699e-07  4.82791584e-12
 3.10000000e+00  1.00000000e-02  1.00000000e+00 -4.32877045e-05 -6.17646167e-06  6.94863428e-06 -6.76659257e-14 -3.00522516e-11 -6.04284530e-05 -1.41606611e-06 -5.69056194e-12  8.36639650e-09  4.54274722e-10 -3.95673681e-14
 3.20000000e+00  1.00000000e-02  0.00000000e+00  2.78262727e-05  2.46443281e-06 -2.70577202e-06  6.46172005e-12  9.90261916e-07  3.80131715e-05  5.17466328e-07  1.89373947e-07  1.38478523e-05  8.69446670e-08  3.65552033e-12
 3.20000000e+00  1.00000000e-02  1.00000000e+00 -3.43600664e-05 -4.70842240e-06  5.16949927e-06 -4.33316349e-14 -2.78536100e-11 -4.69388933e-05 -9.88635274e-07 -5.03943740e-12  6.22357851e-09  3.03425352e-10 -2.32059891e-14
 3.30000000e+00  1.00000000e-02  0.00000000e+00  2.17970325e-05  1.83347284e-06 -1.96526281e-06  5.04929432e-12  7.02186275e-07  2.91339583e-05  3.53399577e-07  1.26261486e-07  1.03841506e-05  5.45120786e-08  2.81863421e-12
 3.30000000e+00  1.00000000e-02  1.00000000e+00 -2.75160485e-05 -3.63703240e-06  3.89845185e-06 -2.84106184e-14 -2.44724809e-11 -3.67779841e-05 -7.01024831e-07 -4.20641162e-12  4.68473539e-09  2.06550634e-10 -1.39964684e-14
 3.40000000e+00  1.00000000e-02  0.00000000e+00  1.72121262e-05  1.38213813e-06 -1.44687452e-06  3.97548661e-12  5.04890016e-07  2.25077849e-05  2.45092626e-07  8.55189151e-08  7.84874958e-06  3.47852420e-08  2.20778951e-12
 3.40000000e+00  1.00000000e-02  1.00000000e+00 -2.22111288e-05 -2.84249729e-06  2.97562608e-06 -1.90154834e-14 -2.08908649e-11 -2.90448102e-05 -5.04048630e-07 -3.40511568e-12  3.56361558e-09  1.42981523e-10 -8.65295766e-15
 3.50000000e+00  1.00000000e-02  0.00000000e+00  1.36920667e-05  1.05428855e-06 -1.07828838e-06  3.15214521e-12  3.67618915e-07  1.75176486e-05  1.72361968e-07  5.87573373e-08  5.97657294e-06  2.25566092e-08  1.75259807e-12
 3.50000000e+00  1.00000000e-02  1.00000000e+00 -1.80588023e-05 -2.24488282e-06  2.29597962e-06 -1.29612861e-14 -1.75402721e-11 -2.31044358e-05 -3.67001518e-07 -2.71035247e-12  2.73644089e-09  1.00464606e-10 -5.46738808e-15
